"",".groups","time","HR1","HR2","Resp1","Resp2"
"1","1",11.803877,-0.43969454990216,2.6155507313515,-0.467968046029496,-2.55619667024592
"2","2",11.805542,-0.43969454990216,2.6155507313515,-0.296924138621615,-2.41293286013543
"3","3",11.807208,-0.43969454990216,2.6155507313515,-0.144992338863537,-2.08721891396916
"4","4",11.808875,-0.43969454990216,2.6155507313515,0.0525051779456352,-1.61693538867882
"5","5",11.810541,-0.43969454990216,2.6155507313515,0.305597994210022,-1.11286070448833
"6","6",11.812208,-0.43969454990216,2.6155507313515,0.595483333404571,-0.670421078912646
"7","7",11.813877,-0.43969454990216,2.6155507313515,0.846120934555248,-0.369224001119785
"8","8",11.815541,-0.43969454990216,2.6155507313515,1.00397864667866,-0.226136005236839
"9","9",11.817207,0.455132611978385,0.64212262853128,1.07473837731356,-0.190792297388302
"10","10",11.818875,0.625575880908012,0.398215784362488,1.09284977054559,-0.208883287213081
"11","11",11.820542,0.625575880908012,0.398215784362488,1.10016824626463,-0.229944781285915
"12","12",11.822208,0.625575880908012,0.504020529947015,1.11233721050673,-0.240955098877325
"13","13",11.823876,0.625575880908012,1.212098442705,1.11711309845824,-0.249512156767706
"14","14",11.825541,0.625575880908012,1.212098442705,1.12556154061643,-0.257162524985154
"15","15",11.827207,0.625575880908012,1.212098442705,1.13235193427411,-0.255798312025783
"16","16",11.828876,0.625575880908012,1.212098442705,1.13226311024729,-0.250055287321878
"17","17",11.830542,0.625575880908012,1.212098442705,1.12623047842621,-0.259014631428326
"18","18",11.832209,0.625575880908012,1.212098442705,1.12423716276566,-0.279609701776568
"19","19",11.833875,1.478752576376,1.212098442705,1.12495784202243,-0.304752216598322
"20","20",11.835541,1.64126242313181,1.11203528625132,1.09730519534153,-0.341452324044493
"21","21",11.837208,1.64126242313181,-2.12334010575113,1.02934719512103,-0.396995202599145
"22","22",11.838876,1.64126242313181,-2.12334010575113,0.940645011069815,-0.451825230794231
"23","23",11.840542,1.64126242313181,-2.12334010575113,0.863979426044267,-0.495188980783816
"24","24",11.842209,1.64126242313181,-2.12334010575113,0.808062596674344,-0.5549039227372
"25","25",11.843875,1.64126242313181,-2.12334010575113,0.738394661369033,-0.626501832874662
"26","26",11.84554,1.64126242313181,0.121820338287422,0.659113919926591,-0.701373405695593
"27","27",11.847209,1.64126242313181,0.239986677447346,0.555870429917132,-0.771984114563088
"28","28",11.848876,1.64126242313181,0.239986677447346,0.436229835879415,-0.84995582549464
"29","29",11.850542,-0.0384339143719474,0.239986677447346,0.340706924475092,-0.923606135904858
"30","30",11.852207,-0.358376073896472,0.239986677447346,0.269161202799009,-0.989111933924437
"31","31",11.853875,-0.358376073896472,0.00995878637082617,0.183896523099203,-1.0366164938658
"32","32",11.855541,-0.358376073896472,-0.855384232440844,0.0913072719138039,-1.0563281107995
"33","33",11.857208,-0.358376073896472,-0.855384232440844,0.0254840236514496,-0.948532866058105
"34","34",11.858876,-0.358376073896472,-0.855384232440844,0.00891253715878521,-0.622458588031185
"35","35",11.860542,-0.358376073896472,-0.855384232440844,-0.00727194072685578,-0.184277720198385
"36","36",11.862207,-0.358376073896472,-0.855384232440844,-0.0314465171813469,0.165676637220334
"37","37",11.863875,-0.358376073896472,-0.552846634268796,-0.0566293624500102,0.384973106088638
"38","38",11.865543,-0.358376073896472,-0.490881102113075,-0.105924150171904,0.500494474685195
"39","39",11.867208,-0.435505468812578,-0.490881102113075,-0.16496603957343,0.539314992622378
"40","40",11.868876,-0.450196782129932,-0.490881102113075,-0.190797300237832,0.528875458091462
"41","41",11.870541,-0.450196782129932,-0.490881102113075,-0.203312199231416,0.488473040142674
"42","42",11.872208,-0.450196782129932,-0.379418668714062,-0.227852398311965,0.439519271454687
"43","43",11.873875,-0.450196782129932,-0.295332973342876,-0.298467717334637,0.401975320940864
"44","44",11.875543,-0.450196782129932,-0.295332973342876,-0.395228896630405,0.387858071011235
"45","45",11.877208,-0.450196782129932,-0.295332973342876,-0.471301022498373,0.3933639092297
"46","46",11.878875,-0.450196782129932,-0.295332973342876,-0.487636022276512,0.403919828879367
"47","47",11.88054,-0.450196782129932,-0.29861811099121,-0.494913315287048,0.403217101918922
"48","48",11.882208,-0.450196782129932,-0.304995142896798,-0.551476905487504,0.36639333953047
"49","49",11.883876,-0.439598129652734,-0.304995142896798,-0.649883520852532,0.294513468947697
"50","50",11.885542,-0.437579338704696,-0.304995142896798,-0.748345525690555,0.193742300523785
"51","51",11.887208,-0.437579338704696,-0.304995142896798,-0.812810863341165,0.102229218393798
"52","52",11.888875,-0.437579338704696,-0.301098363322575,-0.825569287373723,0.0437647540297967
"53","53",11.89054,-0.437579338704696,-0.256285398218999,-0.807117072490159,0.0188128852344381
"54","54",11.892209,-0.437579338704696,-0.256285398218999,-0.797485695019696,0.00545421081610897
"55","55",11.893877,-0.437579338704696,-0.256285398218999,-0.84355863833775,0.00255735599521609
"56","56",11.895541,-0.437579338704696,-0.256285398218999,-0.932566430306595,0.015879545411345
"57","57",11.897208,-0.437579338704696,-0.256285398218999,-0.957115503081587,0.0320953963613953
"58","58",11.898875,-0.437579338704696,-0.239323415245211,-0.926469559265728,0.0412313903853886
"59","59",11.900542,-0.408654804546623,-0.236562162202966,-0.895081772272202,0.0227275153494878
"60","60",11.902208,-0.403145369468895,-0.236562162202966,-0.891088783211732,-0.0367818332767854
"61","61",11.903877,-0.403145369468895,-0.236562162202966,-0.918173612867296,-0.120471973808338
"62","62",11.90554,-0.403145369468895,-0.236562162202966,-0.971931292699158,-0.216440438627888
"63","63",11.907208,-0.403145369468895,-0.339318005752565,-1.03672879761657,-0.299712122681689
"64","64",11.908874,-0.403145369468895,-0.399666675773758,-1.07707923080116,-0.364073501004687
"65","65",11.910543,-0.403145369468895,-0.399666675773758,-1.09809810874029,-0.427476621467285
"66","66",11.912208,-0.403145369468895,-0.399666675773758,-1.15517335145991,-0.529272427355229
"67","67",11.913875,-0.403145369468895,-0.399666675773758,-1.22232059295919,-0.68854291453072
"68","68",11.915541,-0.403145369468895,-0.411686769273866,-1.32340908435733,-0.843629584293735
"69","69",11.917208,-0.348124585672866,-0.499834121607994,-1.49255296310341,-0.960384648737508
"70","70",11.918875,-0.337644436378385,-0.499834121607994,-1.67732743226205,-1.0455321510888
"71","71",11.920542,-0.337644436378385,-0.499834121607994,-1.82403504398035,-1.11784759960287
"72","72",11.922209,-0.337644436378385,-0.499834121607994,-1.8950870085662,-1.19716864413535
"73","73",11.923874,-0.337644436378385,-0.499834121607994,-1.87293107423089,-1.27873361821658
"74","74",11.925541,-0.337644436378385,-0.602999499316667,-1.81063197728728,-1.3340296624826
"75","75",11.927208,-0.337644436378385,-0.745465973295311,-1.8154511161538,-1.36829933883247
"76","76",11.928877,-0.337644436378385,-0.745465973295311,-1.87361837190895,-1.38533892193648
"77","77",11.930542,-0.337644436378385,-0.745465973295311,-1.92664276005279,-1.40673238196975
"78","78",11.932208,-0.337644436378385,-0.745465973295311,-2.03562657536372,-1.47386003005921
"79","79",11.933875,-0.32977970239823,-0.745465973295311,-2.21438144603069,-1.57307008880796
"80","80",11.935541,-0.328281657830582,-0.814331092306348,-2.40497371478085,-1.66409955781753
"81","81",11.937208,-0.328281657830582,-0.870675280588106,-2.55716250915377,-1.73976129930809
"82","82",11.938877,-0.328281657830582,-0.870675280588106,-2.6644231818857,-1.82279206005128
"83","83",11.940541,-0.328281657830582,-0.870675280588106,-2.7524274006674,-1.90665409454105
"84","84",11.942207,-0.328281657830582,-0.870675280588106,-2.88037231552569,-1.97282165032866
"85","85",11.943875,-0.328281657830582,-0.870675280588106,-3.00793087489479,-2.00323247717206
"86","86",11.945542,-0.328281657830582,-0.940014200482315,-3.10389906753157,-2.008932426473
"87","87",11.947208,-0.328281657830582,-1.1018050135688,-3.17396496930996,-2.02042724043441
"88","88",11.948876,-0.328281657830582,-1.1018050135688,-3.22480155781297,-2.04632255567401
"89","89",11.950541,-0.306286285938192,-1.1018050135688,-3.26910493595162,-2.08854202185156
"90","90",11.952207,-0.302096691292023,-1.1018050135688,-3.32074790728629,-2.15371802806354
"91","91",11.953876,-0.302096691292023,-1.1018050135688,-3.3861520715986,-2.24465482380868
"92","92",11.955542,-0.302096691292023,-1.1018050135688,-3.45383336755911,-2.34758220830304
"93","93",11.957209,-0.302096691292023,-1.12849174858922,-3.50251945670705,-2.44654727399885
"94","94",11.958875,-0.302096691292023,-1.12903637583453,-3.35130750892314,-2.52843549025227
"95","95",11.960541,-0.302096691292023,-1.12903637583453,-2.7180282643617,-2.57990016086822
"96","96",11.962208,-0.302096691292023,-1.12903637583453,-1.74605828134134,-2.61370121895799
"97","97",11.963876,-0.302096691292023,-1.12903637583453,-0.811679231110445,-2.64208248772181
"98","98",11.965542,-0.302096691292023,-1.12903637583453,-0.143663737517371,-2.68980461241932
"99","99",11.967209,-0.237097374598993,-0.993818656471509,0.197168675948832,-2.78441333488126
"100","100",11.968875,-0.224716552371749,-0.982060593918202,0.243830752897553,-2.89668971175538
"101","101",11.97054,-0.224716552371749,-0.982060593918202,0.11580993123204,-2.99221490825742
"102","102",11.972209,-0.224716552371749,-0.982060593918202,-0.0498122925568334,-3.08416339098936
"103","103",11.973876,-0.224716552371749,-0.982060593918202,-0.195290823574693,-3.1981981017362
"104","104",11.975542,-0.224716552371749,-0.965399379213189,-0.326681965536043,-3.30839074403931
"105","105",11.977207,-0.224716552371749,-0.863051917453819,-0.44208357077452,-3.40498787194426
"106","106",11.978875,-0.224716552371749,-0.863051917453819,-0.545116560902788,-3.5111933013989
"107","107",11.980541,-0.224716552371749,-0.863051917453819,-0.62606085154937,-3.6097705729661
"108","108",11.982208,-0.224716552371749,-0.863051917453819,-0.657860593348822,-3.66875759496311
"109","109",11.983876,-0.0178554451062773,-0.863051917453819,-0.537427375495363,-3.48290956377224
"110","110",11.985542,0.0215466705633361,-0.729532257907077,-0.196198853313508,-2.88900559511473
"111","111",11.987207,0.0215466705633361,-0.596012598360335,0.271194140942108,-2.00645480946603
"112","112",11.988875,0.0215466705633361,-0.596012598360335,0.725024903686018,-1.05774688140648
"113","113",11.990543,0.0215466705633361,-0.596012598360335,1.04057305719608,-0.285573470935127
"114","114",11.992208,0.0215466705633361,-0.596012598360335,1.19562954688565,0.190625924209205
"115","115",11.993876,0.0215466705633361,-0.48816683026224,1.24689733830314,0.415832419895771
"116","116",11.995541,0.0215466705633361,-0.196583827626647,1.24209895407033,0.474197824421395
"117","117",11.997208,0.0215466705633361,-0.196583827626647,1.23250385468364,0.442193887090854
"118","118",11.998875,0.0215466705633361,-0.196583827626647,1.2419043975214,0.365383445540326
"119","119",12.000543,0.0631459097062245,-0.196583827626647,1.25231023385871,0.27656148901957
"120","120",12.002208,0.0710695743048699,-0.183163162760007,1.23886979431122,0.194435515565592
"121","121",12.003875,0.0710695743048699,-0.0623771789602459,1.18708103256,0.125132423741579
"122","122",12.00554,0.0710695743048699,-0.0623771789602459,1.11689561021612,0.0653598667381643
"123","123",12.007208,0.0710695743048699,-0.0623771789602459,1.0549925929607,0.0155059308357394
"124","124",12.008876,0.0710695743048699,-0.0623771789602459,0.990609106701597,-0.0218571573394296
"125","125",12.010542,0.0710695743048699,-0.060887963836339,0.897488725571551,-0.0471242103530521
"126","126",12.012208,0.0710695743048699,-0.0411026771901431,0.753038361691517,-0.0689633037744582
"127","127",12.013875,0.0710695743048699,-0.0411026771901431,0.573000695009849,-0.0977533676243914
"128","128",12.01554,0.0710695743048699,-0.0411026771901431,0.398003864418495,-0.128639043034603
"129","129",12.017209,0.00102032729136395,-0.0411026771901431,0.262123132341079,-0.165229219878241
"130","130",12.018877,-0.0123223864254942,-0.0604407560803797,0.176634650926655,-0.208039308260877
"131","131",12.020541,-0.0123223864254942,-0.125181281060738,0.146024178666602,-0.240890825484249
"132","132",12.022208,-0.0123223864254942,-0.125181281060738,0.153852666853333,-0.266142999139433
"133","133",12.023875,-0.0123223864254942,-0.125181281060738,0.158857871736813,-0.299357056347426
"134","134",12.025542,-0.0123223864254942,-0.125181281060738,0.154067252349483,-0.350531925979424
"135","135",12.027208,-0.0123223864254942,-0.125181281060738,0.121208966175583,-0.404204285734114
"136","136",12.028877,-0.0123223864254942,-0.368257976441709,0.0595984731457261,-0.446100482562564
"137","137",12.03054,-0.0123223864254942,-0.381051486724918,-0.028574032333832,-0.483356018114859
"138","138",12.032208,-0.0123223864254942,-0.381051486724918,-0.128484545874413,-0.543074968662525
"139","139",12.033874,-0.247601147496529,-0.381051486724918,-0.221881747374298,-0.628363926832403
"140","140",12.035543,-0.292416149605298,-0.381051486724918,-0.295971849263557,-0.71603670769726
"141","141",12.037208,-0.292416149605298,-0.401108023268682,-0.340436968407901,-0.765454725957008
"142","142",12.038875,-0.292416149605298,-0.418193221065223,-0.357978973503342,-0.781723164228666
"143","143",12.040541,-0.292416149605298,-0.418193221065223,-0.356005730331204,-0.796720810170423
"144","144",12.042208,-0.292416149605298,-0.418193221065223,-0.354386803589555,-0.835474880561698
